排名,歌名,作者,發行日期,連結
1,男人啊,李聖傑 (Sam Lee),2024-05-15,https://www.kkbox.com/tw/tc/song/Gqc8n_TfHxj7MHA1Xd
2,在加纳共和国离婚,"张碧晨, 杨坤",2024-05-14,https://www.kkbox.com/tw/tc/song/5_BOTKrzMf04iIGhbl
3,我不該哭 feat. 告五人,動力火車 (Power Station),2024-05-10,https://www.kkbox.com/tw/tc/song/9Yjaa_XOtUrZ1YpdFp
4,摯友 - From THE FIRST TAKE,A-Lin,2024-05-10,https://www.kkbox.com/tw/tc/song/1Yyw485z0OlxrqHd6c
5,最后一页,"王赫野, 姚晓棠",2024-05-01,https://www.kkbox.com/tw/tc/song/H-Hrll1KCJ6qzqY7nM
6,沒事的,蕭煌奇 (Ricky Hsiao),2024-05-10,https://www.kkbox.com/tw/tc/song/OpCrnScQzUmSb-KEyO
7,在迦納共和國離婚,"戴羽彤, 承桓",2024-05-13,https://www.kkbox.com/tw/tc/song/DXxwlePig_DL_H5H-z
8,葉子,晨悠CHENYO,2024-04-30,https://www.kkbox.com/tw/tc/song/9a7zMnBt1jmuLK_62I
9,Here I Am,Energy,2024-05-02,https://www.kkbox.com/tw/tc/song/0rCnyXIx97UdzQaSaP
10,1個不小心,Shawn尚融,2024-05-21,https://www.kkbox.com/tw/tc/song/SqOI9L7NV6ObzfYXQS
11,另一端,李榮浩,2024-05-10,https://www.kkbox.com/tw/tc/song/LXziD_khU4Yl5sPvBy
12,World Top,Ozone,2024-05-03,https://www.kkbox.com/tw/tc/song/X_iUpumOxGbE6TFMQW
13,嗯,C.Y蔡承祐,2024-05-03,https://www.kkbox.com/tw/tc/song/D_2hJG56Otw-aAScRn
14,把手給我,Energy,2024-05-02,https://www.kkbox.com/tw/tc/song/0pZbTuaVMinpUoySbl
15,你在哪裡,宇宙人 (Cosmos People),2024-05-17,https://www.kkbox.com/tw/tc/song/8pnBoMIr2c2emnIELG
16,匿光,Bettii 杯緹,2024-05-03,https://www.kkbox.com/tw/tc/song/9XGLSCzC3wYrDEIpY8
17,二次西遊 (OT：孫悟空),Energy,2024-05-02,https://www.kkbox.com/tw/tc/song/SsxKL-JfDXYxbKdhtk
18,來我家聽 DEMO,BSB,2024-05-20,https://www.kkbox.com/tw/tc/song/HXLwT2IYaXJ8bCpQs3
19,更值得的人,戴愛玲 (Princess Ai),2024-05-17,https://www.kkbox.com/tw/tc/song/SsxwDvJfDXYxZAKL2F
20,緩緩 - 戲劇《我的婆婆怎麼那麼可愛2》插曲,魏嘉瑩 (Arrow Wei),2024-04-30,https://www.kkbox.com/tw/tc/song/Cnk3T9hZUCArrs-_-C
21,借過一下 (《慶餘年第二季》影視劇片尾曲),周深,2024-05-15,https://www.kkbox.com/tw/tc/song/1_9uZE9U_TKl4rcQLt
22,一一（現在只剩我了） - 實境節目《我的明星村長》片尾曲,琳誼 Ring,2024-05-21,https://www.kkbox.com/tw/tc/song/OqE3XWoPMMmVfLoHQ4
23,懦弱,TRASH,2024-04-30,https://www.kkbox.com/tw/tc/song/OlSCIsx4S497YNddxk
24,傷心唱出來就沒事了,江美琪 (Maggie Chiang),2024-05-17,https://www.kkbox.com/tw/tc/song/KkbNhL3D5hrtBlc1eV
25,未選擇的路(選錯就選錯)(男版),ZQS,2024-05-11,https://www.kkbox.com/tw/tc/song/HaXJHJWlE8K3Zn-DJE
26,最特別的人,畢書盡 (Bii),2024-05-28,https://www.kkbox.com/tw/tc/song/KnIp6XnMKmKv6aqxf_
27,還愛著你,陳立農,2024-05-06,https://www.kkbox.com/tw/tc/song/GnM8y902JNIVJxFDSO
28,我在地球等你,Bettii 杯緹,2024-05-03,https://www.kkbox.com/tw/tc/song/X--gUHzb-uxSituSgS
29,根本你不懂得爱我,傲七爷,2024-04-29,https://www.kkbox.com/tw/tc/song/GsbcIBCkZ-QUZImjx_
30,是否值得期待,Bettii 杯緹,2024-05-03,https://www.kkbox.com/tw/tc/song/PaQ2WWiqWKr81KMYzm
31,Sad Melody,福夢 (FUMON),2024-05-10,https://www.kkbox.com/tw/tc/song/1a6l0_jn0t4rwsSI_I
32,最后一页,姚晓棠,2024-05-02,https://www.kkbox.com/tw/tc/song/8oax8z_wlULSD-YDBi
33,以為是,Bettii 杯緹,2024-05-03,https://www.kkbox.com/tw/tc/song/9_8ep73uL75jLvVU3i
34,這條小魚在乎,"王OK, 洪佩瑜",2024-04-28,https://www.kkbox.com/tw/tc/song/HYxgkbbIzKb7fb3Cbb
35,共身軀完全放予去,拍謝少年 (Sorry Youth),2024-05-24,https://www.kkbox.com/tw/tc/song/Or9pmxHlf78HWDjTDO
36,笑著笑著就哭了 - 戲劇《我的婆婆怎麼那麼可愛2》片尾曲,Ray 黃霆睿,2024-05-15,https://www.kkbox.com/tw/tc/song/SskbEWJfDXYxYI6d23
37,遲早,Bettii 杯緹,2024-05-03,https://www.kkbox.com/tw/tc/song/Os6cBS608UtswzCtup
38,借（國語版）,Various Artists,2024-05-15,https://www.kkbox.com/tw/tc/song/OnPkscmro9axM_lTdR
39,拍謝啦（怪女孩超派版） - 戲劇《我的婆婆怎麼那麼可愛2》主題曲,BOOM！怪物星人,2024-05-03,https://www.kkbox.com/tw/tc/song/P-nddJWGhnTeOBTThS
40,一場痛能多久,吳克群 (Kenji Wu),2024-05-17,https://www.kkbox.com/tw/tc/song/TZ-71ZvwH5GcNKTLm1
41,做你的格,玖壹壹,2024-05-28,https://www.kkbox.com/tw/tc/song/L_Fkru1p_NyBrHQR75
42,如果那通電話有接通,DIOR 大穎,2024-05-12,https://www.kkbox.com/tw/tc/song/0tevnu0AKUfrD2xOH4
43,Forever Song,李佳薇 (Jess Lee),2024-05-02,https://www.kkbox.com/tw/tc/song/1aFC0hjn0t4rzVYNXp
44,蘑菇蘑菇 - 台妹版,小狗创可贴,2024-05-10,https://www.kkbox.com/tw/tc/song/LaO4Jt_JzEPThRz8kJ
45,少管我,周深,2024-05-19,https://www.kkbox.com/tw/tc/song/4ndosFn43TYur72BwW
46,淘汰,en,2024-04-30,https://www.kkbox.com/tw/tc/song/DaL5GEKpK9m6GL7aTX
47,根本你不懂得爱我 - 心碎版,应嘉俐,2024-05-08,https://www.kkbox.com/tw/tc/song/P-Vw67WGhnTeOcS7Tv
48,晚安大小姐(絲滑卡點DJ),DJA樂,2024-05-17,https://www.kkbox.com/tw/tc/song/OrVsOxHlf78HVQZmZt
49,獨角仙人,李晉瑋 (G.Wei-Lee),2024-05-07,https://www.kkbox.com/tw/tc/song/9-2ir9cfF6qQ0RTnFG
50,你沒懂,何美 Homei,2024-05-13,https://www.kkbox.com/tw/tc/song/P_el3Db6adNrh0WVee
